排名,CPU名称,性能分数,百分比,ID
1,AMD EPYC 9755 128-Core Emb,162675,100%,6382
2,AMD EPYC 9965,160778,98.833871215614%,6244
3,AMD EPYC 9B45,158843,97.644382972184%,6228
4,AMD Ryzen Threadripper PRO 7995WX,158518,97.444598125096%,5493
5,AMD Ryzen Threadripper PRO 9985WX 64-Cores,156459,96.178884278469%,6397
6,AMD EPYC 9655,156001,95.897341324727%,6182
7,AMD EPYC 9655P 96-Core,155878,95.821730444137%,5994
8,AMD EPYC 9745,150920,92.773935761488%,6126
9,AMD EPYC 9575F,150501,92.516366989396%,6159
10,AMD Ryzen Threadripper 9980X,147481,90.659904717996%,6296
11,AMD Ryzen Threadripper PRO 7985WX,141956,87.263562317504%,5510
12,AMD EPYC 9845,139712,85.884124788689%,6030
13,AMD Ryzen Threadripper 7980X,137775,84.693407100046%,5551
14,AMD EPYC 9555P,135513,83.302904564315%,6158
15,AMD EPYC 9565 72-Core,135221,83.12340556324%,6368
16,AMD EPYC 9555 64-Core,133253,81.913631473797%,6057
17,Intel Xeon 6960P,130659,80.319041032734%,6515
18,AMD EPYC 9B14,127471,78.359305363455%,6413
19,AMD EPYC 9475F,127149,78.161364684186%,6534
20,AMD EPYC 9J14,124637,76.61718149685%,6121
21,AMD EPYC 9654,124119,76.298755186722%,5042
22,AMD EPYC 9684X,122615,75.374212386661%,5748
23,Intel Xeon 6781P,118746,72.995850622407%,6507
24,AMD EPYC 9455P,117624,72.306131857999%,6060
25,AMD EPYC 9V74,117606,72.295066851083%,6117
26,AMD EPYC 9654P 96-Core Emb,116927,71.877670201322%,6626
27,AMD EPYC 9R14,116475,71.599815583218%,5763
28,AMD EPYC 9754 128-Core Emb,115016,70.702935300446%,6674
29,AMD EPYC 9D25 126-Core,114275,70.247425849086%,6569
30,Intel Xeon 696X,112888,69.394805593976%,6630
31,AMD EPYC 9554,111635,68.624558168127%,5687
32,AMD Ryzen Threadripper 9970X 32-Cores,111454,68.513293376364%,6409
33,AMD EPYC 9455 48-Core Emb,111003,68.236053480867%,6685
34,AMD Ryzen Threadripper PRO 9975WX,110740,68.074381435377%,6394
35,AMD EPYC 9554P,110611,67.995082219149%,5384
36,AMD Ryzen Threadripper PRO 5995WX,108822,66.895343476256%,4630
37,AMD EPYC 9474F,105003,64.547717842324%,5139
38,AMD EPYC 9634,102960,63.2918395574%,5725
39,AMD EPYC 9734,102286,62.87751652067%,6284
40,Intel Xeon 6747P,100964,62.064853234978%,6425
41,AMD Ryzen Threadripper PRO 7975WX,100760,61.939449823267%,5509
42,Intel Xeon w9-3495X,100747,61.931458429384%,5301
43,Intel Xeon 6741P,100660,61.877977562625%,6192
44,Intel Xeon w9-3595X,100148,61.563239588136%,5937
45,AMD Ryzen Threadripper 7970X,96565,59.360688489319%,5596
